entry_date,exit_date,ticker,entry_price,exit_price,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2024-09-19,2024-10-02,BNP.PA,59.12,56.11,1429.0,24.1638,-72.79,-5.09,9,0.0,trailing_stop
2024-09-19,2024-10-08,KBC.BR,67.4,63.96,1429.0,21.1961,-72.79,-5.1,13,0.02,trailing_stop
2024-09-19,2024-10-28,PHIA.AS,26.96,27.06,1429.0,52.9937,5.18,0.36,27,1.77,trailing_stop
2024-09-20,2024-10-04,BLK,908.39,908.39,1429.0,1.5726,-0.0,-0.0,10,0.73,trailing_stop
2024-09-23,2024-10-21,META,567.82,567.82,1429.0,2.5159,-0.0,-0.0,20,0.88,trailing_stop
2024-09-23,2024-11-12,ITX.MC,49.6,48.91,1429.0,28.8044,-19.68,-1.38,36,1.41,trailing_stop
2024-09-23,2024-12-18,NOW,187.56,211.57,1429.0,7.6165,182.85,12.8,61,4.63,trailing_stop
2024-10-03,2024-12-12,BMY,50.19,52.86,1418.0,28.2563,75.39,5.32,49,2.55,trailing_stop
2024-10-04,2024-10-17,WEAT,26.73,25.82,1418.0,53.062,-47.89,-3.38,9,0.39,trailing_stop
2024-10-08,2024-10-21,AMD,171.92,163.16,1408.0,8.1885,-71.73,-5.1,9,0.0,trailing_stop
2024-10-17,2024-10-30,ISP.MI,3.52,3.52,1401.0,398.0876,-0.0,-0.0,9,0.46,trailing_stop
2024-10-21,2024-11-01,BNP.PA,60.0,57.17,1391.0,23.1771,-65.67,-4.72,9,0.0,trailing_stop
2024-10-21,2024-11-01,AIR.PA,136.08,136.08,1391.0,10.2196,-0.0,-0.0,9,0.39,trailing_stop
2024-10-28,2024-11-13,SAP,238.9,227.1,1391.0,5.8243,-68.74,-4.94,12,0.15,trailing_stop
2024-10-30,2024-11-12,NOK,4.7,4.46,1391.0,296.2698,-70.89,-5.1,9,0.0,trailing_stop
2024-11-01,2024-11-11,ABBV,196.09,166.51,1382.0,7.0482,-208.48,-15.09,6,0.0,emergency_stop
2024-11-07,2024-11-21,ISP.MI,3.58,3.4,1382.0,385.9559,-70.42,-5.1,10,0.0,trailing_stop
2024-11-11,2024-11-22,INTC,25.99,24.66,1352.0,52.0382,-68.9,-5.1,9,0.0,trailing_stop
2024-11-12,2024-11-25,ORCL,186.38,186.38,1339.0,7.1861,-0.0,-0.0,9,0.47,trailing_stop
2024-11-12,2024-12-05,UNH,602.98,572.26,1339.0,2.2212,-68.24,-5.1,16,0.0,trailing_stop
2024-11-13,2024-12-16,SCHW,76.89,76.89,1330.0,17.2918,-0.0,-0.0,22,1.44,trailing_stop
2024-11-22,2024-12-27,DBA,24.58,25.01,1310.0,53.2813,22.84,1.74,23,2.47,trailing_stop
2024-11-25,2024-12-09,UNG,14.99,14.23,1310.0,87.3359,-66.72,-5.1,9,0.06,trailing_stop
2024-11-25,2024-12-18,IBM,216.71,218.38,1310.0,6.0432,10.14,0.77,16,1.67,trailing_stop
2024-12-05,2024-12-18,META,615.26,615.26,1300.0,2.1127,-0.0,-0.0,9,0.52,trailing_stop
2024-12-09,2024-12-20,IFX.DE,32.85,31.18,1290.0,39.2756,-65.74,-5.1,9,0.31,trailing_stop
2024-12-12,2024-12-26,GOOGL,194.43,194.43,1301.0,6.6917,-0.0,-0.0,9,0.15,trailing_stop
2024-12-17,2025-01-13,KBC.BR,69.27,69.27,1301.0,18.7827,-0.0,-0.0,16,1.31,trailing_stop
2024-12-24,2025-01-31,UNG,16.02,15.92,1319.0,82.3718,-7.93,-0.6,24,2.93,trailing_stop
2025-01-06,2025-02-27,CORN,18.8,19.61,1323.0,70.3519,57.1,4.32,35,4.22,trailing_stop
2025-01-17,2025-01-31,BAC,45.6,45.6,1323.0,29.0025,-0.0,-0.0,9,0.22,trailing_stop
2025-01-17,2025-02-03,ISP.MI,3.84,3.84,1323.0,344.6752,-0.0,-0.0,11,0.94,trailing_stop
2025-01-17,2025-02-03,AXP,310.03,310.03,1323.0,4.2658,-0.0,-0.0,10,1.01,trailing_stop
2025-01-17,2025-02-21,JPM,249.28,257.85,1323.0,5.3053,45.46,3.44,23,2.75,trailing_stop
2025-01-17,2025-02-25,WFC,74.07,74.07,1323.0,17.8541,-0.0,-0.0,25,1.59,trailing_stop
2025-01-31,2025-02-13,IBM,248.43,248.43,1321.0,5.3189,-0.0,-0.0,9,0.64,trailing_stop
2025-02-03,2025-02-25,ITX.MC,49.64,49.64,1321.0,26.6194,-0.0,-0.0,16,1.98,trailing_stop
2025-02-03,2025-04-04,GLD,260.01,278.33,1321.0,5.0821,93.1,7.05,43,5.62,trailing_stop
2025-02-07,2025-04-04,SAN.MC,5.44,5.71,1321.0,243.0477,67.42,5.1,40,3.53,trailing_stop
2025-02-13,2025-03-14,KO,67.09,67.09,1321.0,19.696,-0.0,-0.0,20,1.23,trailing_stop
2025-05-02,2025-05-15,LLY,821.24,779.4,1359.0,1.6548,-69.24,-5.1,9,0.0,trailing_stop
2025-05-02,2025-05-28,CRH,97.65,92.67,1359.0,13.9173,-69.24,-5.1,17,0.16,trailing_stop
2025-05-05,2025-05-23,AI.PA,182.01,182.01,1359.0,7.4665,-0.0,-0.0,14,0.54,trailing_stop
2025-05-05,2025-08-07,MSFT,430.99,518.19,1359.0,3.1531,274.96,20.23,65,4.06,trailing_stop
2025-05-06,2025-07-18,META,591.78,691.52,1359.0,2.2964,229.03,16.85,50,3.24,trailing_stop
2025-05-06,2025-08-01,SPXL,129.56,175.55,1359.0,10.4891,482.39,35.5,60,4.0,trailing_stop
2025-05-06,2025-08-01,TQQQ,27.91,41.56,1359.0,48.6927,664.47,48.9,60,4.58,trailing_stop
2025-05-16,2025-06-03,SAN.MC,6.81,6.81,1349.0,198.1454,-0.0,-0.0,12,0.66,trailing_stop
2025-05-23,2025-06-17,BITO,15.57,14.78,1349.0,86.6311,-68.74,-5.1,16,0.19,trailing_stop
2025-05-29,2025-06-11,PG,163.46,160.33,1339.0,8.1927,-25.69,-1.92,9,0.61,trailing_stop
2025-06-04,2025-07-30,SLV,31.35,33.56,1339.0,42.7157,94.44,7.05,38,3.81,trailing_stop
2025-06-11,2025-07-16,QCOM,158.44,150.37,1336.0,8.429,-68.04,-5.1,23,0.27,trailing_stop
2025-06-17,2025-07-01,XOP,131.83,125.11,1326.0,10.0565,-67.54,-5.1,9,0.02,trailing_stop
