entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2016-06-20,2016-07-01,AMD,stock,5.4,5.12,,1000.0,185.3434,-50.95,-5.1,9,0.11,trailing_stop
2016-06-20,2016-07-15,EQIX,stock,314.1,314.1,,1000.0,3.1837,-0.0,-0.0,18,0.87,trailing_stop
2016-06-22,2016-07-25,GE,stock,133.27,135.68,,1000.0,7.5034,18.06,1.81,22,2.47,trailing_stop
2016-06-27,2016-12-20,FMG.AX,stock,1.25,2.26,,1000.0,802.2418,811.61,81.16,126,11.6,trailing_stop
2016-06-29,2016-07-21,AEP,stock,48.91,48.91,,1000.0,20.4447,-0.0,-0.0,15,1.21,trailing_stop
2016-06-30,2016-07-13,BATS.L,stock,2464.67,2464.67,,1000.0,0.4057,-0.0,-0.0,9,1.32,trailing_stop
2016-06-30,2016-07-14,UNG,stock,136.94,129.96,,1000.0,7.3026,-50.95,-5.1,9,0.66,trailing_stop
2016-06-30,2016-08-04,ULVR.L,stock,2628.3,2628.29,,1000.0,0.3805,-0.0,-0.0,25,1.3,trailing_stop
2016-06-30,2016-09-09,EMB,stock,72.05,73.86,,1000.0,13.8786,25.09,2.51,49,3.4,trailing_stop
2016-06-30,2016-09-09,LQD,stock,87.28,87.59,,1000.0,11.4574,3.51,0.35,49,2.26,trailing_stop
2016-07-01,2016-07-15,DGE.L,stock,1623.78,1623.78,,995.0,0.6127,-0.0,-0.0,10,0.61,trailing_stop
2016-07-13,2016-09-13,PICK,stock,14.98,14.22,,995.0,66.3937,-50.69,-5.1,43,0.68,trailing_stop
2016-07-14,2016-10-19,INTC,stock,28.28,29.33,,990.0,34.9998,36.59,3.7,68,2.3,trailing_stop
2016-07-15,2016-08-02,GS,stock,133.27,127.09,,990.0,7.4273,-45.84,-4.63,12,0.04,trailing_stop
2016-07-15,2016-10-21,UNP,stock,76.63,72.72,,990.0,12.9169,-50.43,-5.1,69,0.97,trailing_stop
2016-07-21,2016-08-17,ASML,stock,96.43,96.43,,990.0,10.2643,-0.0,-0.0,19,1.17,trailing_stop
2016-07-25,2016-08-11,CBA.AX,stock,50.28,49.12,,992.0,19.7223,-22.91,-2.31,13,0.5,trailing_stop
2016-08-02,2016-08-15,PPLT,stock,113.22,107.64,,987.0,8.7176,-48.64,-4.93,9,0.02,trailing_stop
2016-08-05,2016-09-29,VLO,stock,36.26,36.26,,987.0,27.2217,-0.0,-0.0,38,1.5,trailing_stop
2016-08-11,2016-10-11,CHTR,stock,253.46,259.86,,985.0,3.8851,24.87,2.53,42,2.1,trailing_stop
